[*] Starting mesh node on port 50001...
[*] Listening on 50001
[*] Control API listening on 6001
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
[DISCOVERY] Found peer 817a1020-f2a1-4d99-98cf-0721aa1e0743 at 172.24.146.241:50002
[DISCOVERY] Found peer 058f8125-4ee1-4065-867e-663b5ab3fdbf at 172.24.146.241:50003
